timestamp;eventTime;date;hour;service;requests;unique_events;cost
2019-01-01 00:00:00;2019-01-01 00:00:00;2019-01-01;0;sns;89;1;0.00035600
2019-01-01 00:00:00;2019-01-01 00:00:00;2019-01-01;0;sqs;1;1;0.00000400
2019-01-01 00:00:00;2019-01-01 00:00:00;2019-01-01;0;sts;1099;2;0.00439600
2019-01-01 00:00:00;2019-01-01 00:00:00;2019-01-01;0;unknown;889;149;0.00355600
2019-02-01 00:00:00;2019-02-01 00:00:00;2019-02-01;0;cloudtrail;10;2;0.00004000
2019-02-01 00:00:00;2019-02-01 00:00:00;2019-02-01;0;ec2;2006;24;0.00802400
2019-02-01 00:00:00;2019-02-01 00:00:00;2019-02-01;0;elb;1;1;0.00000400
2019-02-01 00:00:00;2019-02-01 00:00:00;2019-02-01;0;iam;426;18;0.00170400
2019-02-01 00:00:00;2019-02-01 00:00:00;2019-02-01;0;lambda;47;2;0.00018800
2019-02-01 00:00:00;2019-02-01 00:00:00;2019-02-01;0;logs;75;1;0.00030000
2019-02-01 00:00:00;2019-02-01 00:00:00;2019-02-01;0;s3;243;4;0.00097200
2019-02-01 00:00:00;2019-02-01 00:00:00;2019-02-01;0;sts;1052;2;0.00420800
2019-02-01 00:00:00;2019-02-01 00:00:00;2019-02-01;0;unknown;279;42;0.00111600
2019-03-01 00:00:00;2019-03-01 00:00:00;2019-03-01;0;cloudtrail;38;2;0.00015200
2019-03-01 00:00:00;2019-03-01 00:00:00;2019-03-01;0;ec2;5183;170;0.02073200
2019-03-01 00:00:00;2019-03-01 00:00:00;2019-03-01;0;elb;69;1;0.00027600
2019-03-01 00:00:00;2019-03-01 00:00:00;2019-03-01;0;iam;574;23;0.00229600
2019-03-01 00:00:00;2019-03-01 00:00:00;2019-03-01;0;lambda;118;2;0.00047200
2019-03-01 00:00:00;2019-03-01 00:00:00;2019-03-01;0;logs;79;3;0.00031600
2019-03-01 00:00:00;2019-03-01 00:00:00;2019-03-01;0;rds;37;1;0.00014800
2019-03-01 00:00:00;2019-03-01 00:00:00;2019-03-01;0;s3;484;14;0.00193600
2019-03-01 00:00:00;2019-03-01 00:00:00;2019-03-01;0;sns;36;2;0.00014400
2019-03-01 00:00:00;2019-03-01 00:00:00;2019-03-01;0;sqs;2;1;0.00000800
2019-03-01 00:00:00;2019-03-01 00:00:00;2019-03-01;0;sts;1661;2;0.00664400
2019-03-01 00:00:00;2019-03-01 00:00:00;2019-03-01;0;unknown;677;173;0.00270800
2019-04-01 00:00:00;2019-04-01 00:00:00;2019-04-01;0;cloudtrail;88;3;0.00035200
2019-04-01 00:00:00;2019-04-01 00:00:00;2019-04-01;0;ec2;6674;194;0.02669600
2019-04-01 00:00:00;2019-04-01 00:00:00;2019-04-01;0;elb;81;1;0.00032400
2019-04-01 00:00:00;2019-04-01 00:00:00;2019-04-01;0;iam;508;22;0.00203200
2019-04-01 00:00:00;2019-04-01 00:00:00;2019-04-01;0;lambda;104;3;0.00041600
